PRES,HGHT,TEMP,DWPT,RELH,MIXR,DRCT,SKNT,THTA,THTE,THTV
1001.0,58,23.0,20.5,86,15.42,20,10,296.1,340.6,298.8
1000.0,65,22.8,20.2,85,15.14,25,10,295.9,339.7,298.6
977.0,267,21.4,19.5,89,14.83,37,20,296.5,339.5,299.1
971.0,321,23.4,10.4,44,8.22,41,23,299.1,323.5,300.5
954.0,476,26.8,6.9,28,6.58,50,30,304.0,324.1,305.2
944.0,568,28.8,4.8,22,5.74,57,28,307.0,324.9,308.0
930.0,701,31.0,3.0,17,5.13,67,26,310.5,326.8,311.5
925.0,749,30.8,2.8,17,5.09,70,25,310.8,327.0,311.8
905.0,945,31.4,1.4,15,4.70,82,23,313.4,328.5,314.2
850.0,1504,27.8,1.8,19,5.15,115,18,315.2,331.9,316.2
827.0,1743,26.1,1.0,19,5.01,130,17,316.0,332.2,316.9
805.0,1979,24.5,0.3,20,4.87,150,14,316.7,332.6,317.6
773.0,2333,22.0,-0.9,22,4.67,185,22,317.7,333.0,318.6
753.0,2561,20.4,-1.6,23,4.54,189,24,318.3,333.3,319.2
700.0,3184,14.8,-2.2,31,4.67,200,28,318.8,334.2,319.7
606.0,4379,3.8,-7.2,44,3.69,219,35,319.6,331.9,320.3
599.0,4471,2.9,-7.4,46,3.67,220,36,319.6,331.9,320.3
552.0,5122,-3.1,-9.0,64,3.51,215,45,320.0,331.8,320.7
523.0,5551,-7.1,-10.1,79,3.41,220,41,320.2,331.6,320.8
500.0,5900,-9.9,-15.9,62,2.23,225,38,320.9,328.6,321.3
470.0,6373,-14.0,-18.2,70,1.94,225,35,321.5,328.3,321.9
468.0,6406,-14.3,-18.4,71,1.93,224,35,321.6,328.3,321.9
419.0,7236,-19.3,-26.3,54,1.07,211,40,325.5,329.4,325.7
413.0,7343,-19.9,-24.9,64,1.24,209,41,326.1,330.5,326.3
405.0,7488,-20.3,-37.3,20,0.39,207,41,327.4,328.9,327.4
404.0,7506,-20.3,-36.3,23,0.43,206,42,327.6,329.2,327.7
400.0,7580,-21.1,-33.1,33,0.59,205,42,327.5,329.7,327.6
387.0,7824,-23.1,-27.4,68,1.05,200,47,328.0,331.8,328.2
359.0,8371,-26.9,-44.9,17,0.20,206,46,330.0,330.8,330.0
344.0,8675,-29.6,-42.7,27,0.26,210,45,330.4,331.4,330.5
319.0,9212,-34.3,-38.8,64,0.42,198,43,331.1,332.7,331.1
314.0,9323,-35.2,-39.9,62,0.38,195,43,331.3,332.8,331.4
303.0,9571,-37.3,-42.3,60,0.31,199,41,331.7,333.0,331.8
300.0,9640,-37.7,-44.7,48,0.24,200,40,332.1,333.1,332.2
294.0,9779,-37.9,-52.9,19,0.10,201,41,333.8,334.2,333.8
278.0,10162,-38.9,-58.9,10,0.05,204,42,337.7,337.9,337.7
260.0,10616,-41.5,,,,208,44,340.4,,340.4
251.0,10853,-43.1,,,,210,45,341.5,,341.5
250.0,10880,-43.3,,,,210,45,341.6,,341.6
231.0,11404,-45.9,,,,220,42,345.5,,345.5
207.0,12132,-49.4,,,,200,34,350.9,,350.9
200.0,12360,-50.5,,,,205,33,352.6,,352.6
181.0,13004,-55.6,,,,210,37,354.5,,354.5
178.0,13112,-56.5,,,,212,33,354.8,,354.8
167.0,13514,-58.1,,,,220,19,358.5,,358.5
151.0,14148,-60.7,,,,220,17,364.6,,364.6
150.0,14190,-60.9,,,,220,17,365.0,,365.0
142.0,14525,-62.3,,,,245,23,368.3,,368.3
136.0,14789,-63.4,,,,205,15,370.9,,370.9
134.0,14880,-63.8,,,,210,12,371.8,,371.8
132.0,14972,-64.1,,,,225,12,372.8,,372.8
128.0,15160,-64.9,,,,215,13,374.6,,374.6
125.0,15305,-65.5,,,,175,18,376.1,,376.1
121.0,15504,-66.3,,,,165,25,378.1,,378.1
113.0,15923,-68.1,,,,185,31,382.4,,382.4
112.0,15977,-68.3,,,,190,31,382.9,,382.9
107.0,16252,-67.8,,,,200,20,388.9,,388.9
103.0,16482,-67.4,,,,185,14,393.9,,393.9
100.0,16660,-67.1,,,,200,11,397.8,,397.8
87.0,17495,-70.3,,,,205,22,407.5,,407.5
70.0,18800,-66.3,,,,70,2,442.2,,442.2
50.0,20880,-58.1,,,,90,23,506.1,,506.1
30.0,24120,-53.7,,,,95,37,597.6,,597.6
20.0,26740,-51.1,,,,85,32,679.0,,679.0
10.0,31380,-42.1,,,,90,44,861.3,,861.3
1007.0,58,22.2,18.4,79,13.40,240,4,294.8,333.3,297.1
1000.0,115,21.2,18.0,82,13.16,270,9,294.4,332.1,296.7
976.0,324,19.6,17.1,85,12.75,290,11,294.8,331.6,297.1
925.0,786,16.2,15.2,94,11.88,290,8,295.9,330.3,298.0
906.0,963,14.6,14.3,98,11.43,297,5,296.0,329.1,298.0
903.0,991,14.6,14.1,97,11.32,298,5,296.3,329.1,298.3
898.0,1038,18.2,10.2,60,8.77,300,4,300.4,326.6,302.0
886.0,1153,17.8,8.8,56,8.10,305,2,301.2,325.5,302.7
850.0,1508,16.6,4.6,45,6.29,355,7,303.5,322.8,304.7
797.0,2051,14.4,-11.6,15,1.98,270,5,306.8,313.4,307.2
775.0,2288,13.5,-18.7,9,1.14,215,13,308.3,312.1,308.5
751.0,2553,12.4,-26.6,5,0.58,233,18,309.9,312.0,310.0
748.0,2586,12.2,-25.9,5,0.62,235,19,310.0,312.2,310.2
700.0,3138,9.0,-15.0,17,1.71,230,21,312.4,318.2,312.7
695.0,3197,8.4,-12.6,21,2.10,230,22,312.4,319.4,312.8
632.0,3978,4.8,-21.2,13,1.12,228,30,316.9,320.9,317.1
500.0,5840,-9.1,-33.1,12,0.47,225,52,321.9,323.7,322.0
443.0,6758,-15.5,-41.1,9,0.24,225,58,325.1,326.1,325.1
430.0,6984,-17.1,-43.1,9,0.20,225,57,325.9,326.7,325.9
400.0,7520,-21.3,-38.3,20,0.35,225,56,327.2,328.6,327.3
399.0,7539,-21.3,-38.3,20,0.35,225,56,327.4,328.8,327.5
386.0,7782,-24.1,-31.1,52,0.74,230,55,326.9,329.7,327.0
385.0,7801,-23.7,-28.5,65,0.95,230,55,327.7,331.2,327.9
370.0,8091,-25.5,-28.1,79,1.03,235,55,329.0,332.8,329.2
358.0,8330,-27.1,-29.9,77,0.90,239,54,330.0,333.3,330.2
356.0,8370,-27.4,-30.2,77,0.87,240,54,330.1,333.3,330.2
334.0,8821,-31.2,-34.3,74,0.63,230,52,331.0,333.4,331.1
300.0,9580,-37.5,-41.0,70,0.35,225,56,332.4,333.8,332.5
271.0,10272,-43.1,,,,217,55,334.1,,334.1
263.0,10473,-44.7,,,,215,55,334.6,,334.6
258.0,10601,-45.7,,,,217,56,335.0,,335.0
250.0,10810,-47.5,,,,220,57,335.3,,335.3
235.0,11216,-50.7,,,,223,58,336.5,,336.5
225.0,11497,-53.1,,,,225,59,337.0,,337.0
